cell,clat,clon,cell_area,clon180
70,-73.76414743349737,47.281105990783395,126747140146.68214,47.2811059907834
71,-73.76414743349737,58.894009216589836,126747140146.68225,58.894009216589836
72,-73.76414743349737,70.5069124423963,126747140146.68214,70.5069124423963
73,-73.76414743349737,82.11981566820273,126747140146.68222,82.1198156682027
74,-73.76414743349737,93.73271889400922,126747140146.68271,93.73271889400922
75,-73.76414743349737,105.34562211981567,126747140146.68181,105.34562211981569
76,-73.76414743349737,116.95852534562212,126747140146.68268,116.95852534562209
77,-73.76414743349737,128.57142857142856,126747140146.68169,128.57142857142856
78,-73.76414743349737,140.18433179723502,126747140146.68274,140.18433179723502
79,-73.76414743349737,151.79723502304148,126747140146.6819,151.79723502304148
80,-73.76414743349737,163.41013824884794,126747140146.68245,163.41013824884794
81,-73.76414743349737,-4.976958525345623,126747140146.68182,-4.976958525345623
82,-73.76414743349737,-173.3640552995392,126747140146.68254,-173.3640552995392
83,-73.76414743349737,-161.75115207373273,126747140146.68217,-161.75115207373273
84,-73.76414743349737,-150.13824884792626,126747140146.68254,-150.13824884792626
85,-73.76414743349737,-138.52534562211983,126747140146.68163,-138.52534562211983
86,-73.76414743349737,-126.91244239631342,126747140146.68167,-126.91244239631342
87,-73.76414743349737,-115.29953917050699,126747140146.68257,-115.29953917050699
88,-73.76414743349737,-103.6866359447005,126747140146.68292,-103.6866359447005
89,-73.76414743349737,-92.07373271889404,126747140146.68176,-92.07373271889404
90,-73.76414743349737,-80.46082949308757,126747140146.68285,-80.46082949308757
91,-73.76414743349737,-68.84792626728108,126747140146.68246,-68.84792626728108
92,-73.76414743349737,-57.23502304147465,126747140146.68187,-57.23502304147465
93,-73.76414743349737,-45.62211981566824,126747140146.68163,-45.62211981566824
94,-73.76414743349737,-34.009216589861836,126747140146.68176,-34.009216589861836
95,-73.76414743349737,-22.396313364055345,126747140146.68355,-22.396313364055345
96,-70.54158032019973,-12.769827795294702,127032603855.90938,-12.769827795294702
97,-70.54158032019973,-3.2961435847683447,127032603855.90948,-3.2961435847683447
98,-70.54158032019973,6.177540625757941,127032603855.90862,6.177540625757928
99,-70.54158032019973,15.651224836284257,127032603855.90921,15.651224836284257
100,-70.54158032019973,25.12490904681058,127032603855.90837,25.124909046810586
101,-70.54158032019973,34.598593257336894,127032603855.90918,34.59859325733689
102,-70.54158032019973,44.07227746786321,127032603855.9085,44.072277467863216
103,-70.54158032019973,53.54596167838952,127032603855.90918,53.54596167838952
104,-70.54158032019973,63.01964588891584,127032603855.90857,63.019645888915846
105,-70.54158032019973,72.49333009944215,127032603855.90924,72.49333009944215
106,-70.54158032019973,81.96701430996848,127032603855.90862,81.96701430996848
107,-70.54158032019973,91.4406985204948,127032603855.9092,91.44069852049483
108,-70.54158032019973,100.91438273102113,127032603855.90932,100.91438273102113
109,-70.54158032019973,110.38806694154744,127032603855.90768,110.38806694154744
110,-70.54158032019973,119.86175115207371,127032603855.90913,119.86175115207368
111,-70.54158032019973,129.33543536260007,127032603855.90938,129.33543536260004
112,-70.54158032019973,138.8091195731264,127032603855.9092,138.8091195731264
113,-70.54158032019973,148.2828037836527,127032603855.90776,148.2828037836527
114,-70.54158032019973,157.756487994179,127032603855.90924,157.756487994179
115,-70.54158032019973,167.23017220470533,127032603855.90933,167.23017220470535
116,-70.54158032019973,-3.2961435847683305,127032603855.9091,-3.2961435847683447
117,-70.54158032019973,-173.82245937424204,127032603855.90823,-173.82245937424204
118,-70.54158032019973,-164.34877516371574,127032603855.90912,-164.34877516371574
119,-70.54158032019973,-154.87509095318939,127032603855.90945,-154.87509095318939
120,-70.54158032019973,-145.40140674266308,127032603855.90784,-145.40140674266308
121,-70.54158032019973,-135.92772253213676,127032603855.91017,-135.92772253213676
122,-70.54158032019973,-126.45403832161043,127032603855.90794,-126.45403832161043
123,-70.54158032019973,-116.98035411108418,127032603855.90784,-116.98035411108418
124,-70.54158032019973,-107.50666990055785,127032603855.91022,-107.50666990055785
125,-70.54158032019973,-98.03298569003152,127032603855.90793,-98.03298569003152
126,-70.54158032019973,-88.55930147950528,127032603855.90794,-88.55930147950528
127,-70.54158032019973,-79.08561726897892,127032603855.91103,-79.08561726897892
128,-70.54158032019973,-69.61193305845256,127032603855.90819,-69.61193305845256
129,-70.54158032019973,-60.138248847926235,127032603855.91006,-60.138248847926235
130,-70.54158032019973,-50.664564637399906,127032603855.90791,-50.664564637399906
131,-70.54158032019973,-41.19088042687366,127032603855.90773,-41.19088042687366
132,-70.54158032019973,-31.717196216347332,127032603855.91013,-31.717196216347332
133,-70.54158032019973,-22.243512005821003,127032603855.90787,-22.243512005821003
134,-67.3104334577818,-13.761259863838177,127164071850.05513,-13.761259863838177
135,-67.3104334577818,-5.389166840582334,127164071850.05849,-5.389166840582334
136,-67.3104334577818,2.982926182673509,127164071850.055,2.982926182673509
137,-67.3104334577818,11.355019205929317,127164071850.05614,11.355019205929324
138,-67.3104334577818,19.72711222918512,127164071850.05614,19.72711222918511
139,-67.3104334577818,28.099205252440925,127164071850.05597,28.099205252440925
140,-67.3104334577818,36.47129827569675,127164071850.0568,36.47129827569677
141,-67.3104334577818,44.84339129895258,127164071850.05614,44.84339129895258
142,-67.3104334577818,53.21548432220838,127164071850.05615,53.2154843222084
